Numero,Link
10721, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/bolsa-tote-couro-liz-media-soft-avela/p/5001603020001U
10722, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/bolsa-tote-couro-liz-media-soft-mint/p/5001603020003U
10723, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/bolsa-tiracolo-betty-pequena-preta/p/5001502960002U
10724, https://www.arezzo.com.br/c/sapatos/sapatos/tenis/rasteira-couro-tiras-corrente-preta/p/1119800030001U
10725, https://www.arezzo.com.br/c/sapatos/sapatos/tenis/rasteira-couro-tiras-corrente-natural-wood/p/1119800030005U
10726, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/rasteira-couro-tiras-corrente-platino/p/1119800030008U
10727, https://www.arezzo.com.br/c/sapatos/sapatos/mules/sandalia-nobuck-fivela-salto-baixo-new-salmon/p/1132900010002U
10728, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/sandalia-nobuck-fivela-salto-baixo-mandarine/p/1132900010003U
10729, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/sapatilha-nobuck-bico-redondo-resina-preta/p/1000208030001U
10730, https://www.arezzo.com.br/c/sapatos/sapatos/tenis/sapatilha-nobuck-bico-redondo-resina-soft-avela/p/1000208030002U
10731, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sapatilha-nobuck-bico-redondo-resina-mandarine/p/1000208030003U
10732, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/sandalia-nobuck-salto-medio-fino-transparente-e-preta/p/0269505710001U
10733, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/sandalia-isabelli-nobuck-salto-medio-transparente-e-soft-avela/p/0269505710002U
10734, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sandalia-isabelli-nobuck-salto-medio-transparente-e-pink-absolut/p/0269505710004U
